disease,cause,symptoms,treatment,prevention
6.4 Major pathological problems in acacia,Major pathological problems in Acacia,,,
Preventing the seedlings from prolonged water logging and/or drought,Prevent seedlings from water logging and drought,,,
Presence of insect pests and signs of damage caused by the termites and borers,Manage termite and borer damage,,,
Application of 10% Bordeaux paste to the cut surfaces (1 kg lime+1 kg CuSO4+10 litres of water),Apply 10% Bordeaux paste to cut surfaces,,,
Root feed with tridemorph 75% EC 2ml in 100 ml water once in a month for 3 months,Once a month for 3 months,,,
6.4.2 Acacia rust (Ravenelia acaciae-arabicae),Ravenelia acaciae-arabicae,,,
"Rusty brown pustules on leaves, stems and floral parts",Rusty brown pustules,,,
Azoxystrobin 23% EC @1ml/litre spray is recommended dosage if the infection is severe,1ml/litre,,,
"Malformation and hypertrophy on leaf rachis, pods and the stem","Leaf rachis, pods and the stem",,,
Use of rust-resistant planting material is the best method to prevent the losses,Use of rust-resistant planting material,,,
Large conspicuous galls in severe stages induced by the aecial stage of the fungus,Large conspicuous galls,,,
Avoid sprinkler irrigation at the advent of disease in the nursery,It should be avoided at the advent of disease in the nursery,,,
Management: Use of rust-resistant planting material is the best method to prevent the losses Avoid sprinkler irrigation at the advent of disease in the nursery Removal of infected seedlings and carefully burial underneath soil Azoxystrobin 23% EC @1ml/litre spray is recommended dosage if the infection is severe,"Management includes using rust-resistant planting material, avoiding sprinkler irrigation, removing and burying infected seedlings, and using Azoxystrobin 23% EC @ 1ml/litre spray for severe infections",,,
Removal of infected seedlings and carefully burial underneath soil,The infected seedlings should be removed and buried underneath the soil,,,
Large conspicuous galls in severe stages induced by the aecial stage of the fungus,It indicates a severe stage of Acacia rust induced by the aecial stage of the fungus,,,
6.4.2 Acacia rust (Ravenelia acaciae-arabicae),Acacia rust,,,
"Rusty brown pustules on leaves, stems and floral parts","One visible symptom of Acacia rust infection is the presence of rusty brown pustules on leaves, stems, and floral parts",,,
Large conspicuous galls in severe stages induced by the aecial stage of the fungus,d by the aecial stage of the fungus in severe stages of Acacia rust.,,,
"Symptoms: Rusty brown pustules on leaves, stems and floral parts Malformation and hypertrophy on leaf rachis, pods and the stem Large conspicuous galls in severe stages induced by the aecial stage of the fungus",,"on plant stems include rusty brown pustules, malformation, hypertrophy, and large conspicuous galls in severe stages.",,
Avoid sprinkler irrigation at the advent of disease in the nursery,Avoiding sprinkler irrigation at the advent of disease in the nursery is recommended to prevent Acacia rust,,,
Removal of infected seedlings and carefully burial underneath soil,It is recommended to remove infected seedlings and bury them carefully underneath soil,,,
Azoxystrobin 23% EC @1ml/litre spray is recommended dosage if the infection is severe,Azoxystrobin is used at a 23% EC @ 1ml/litre spray to manage severe Acacia rust infections,,,
Use of rust-resistant planting material is the best method to prevent the losses,Rust-resistant planting material should be used to prevent losses from Acacia rust,,,
"Symptoms: Rusty brown pustules on leaves, stems and floral parts Malformation and hypertrophy on leaf rachis, pods and the stem Large conspicuous galls in severe stages induced by the aecial stage of the fungus",,"include rusty brown pustules, malformation, hypertrophy on leaf rachis, pods, stems, and large conspicuous galls.",,
Healthy foliage Rust pustules in Acacia nilotica,Healthy foliage shows signs of rust pustules,,,
7.1 Plant systematics,Dalbergia,,,
7.2 Distribution,200 to 1400 m,,,
7.1 Plant systematics,"Tall, deciduous tree",,,
7.3 Common diseases,Rhizoctonia solani,,,
7 Indian Rose Wood (Dalbergia sissoo),"It provides timber quality and can be used for various purposes such as furniture, panelling, ornamental work, and more",,,
7 Indian Rose Wood (Dalbergia sissoo),The fruit extract is used as molluscicide to inhibit freshwater snail problem,,,
7.2 Distribution,"In tropical and subtropical regions of Asia and Africa, along the riverbanks above 200 m elevation, ranging up to 1400 m asl",,,
7 Indian Rose Wood (Dalbergia sissoo),"Its extraordinary strength, close grain, durability, and ornamental quality",,,
7 Indian Rose Wood (Dalbergia sissoo),"The leaves and young shoots are readily grazed by animals and used as fodder, especially during the winter season",,,
7.3 Common diseases,It results in irreversible damage during seedling stage,,,
7.3 Common diseases,d by fungal and insect damage leading to huge losses in cultivation.,,,
7 Indian Rose Wood (Dalbergia sissoo),"Treating skin diseases, blood diseases, syphilis, stomach problems, and as an expectorant",,,
7 Indian Rose Wood (Dalbergia sissoo),Various countries in Europe and elsewhere,,,
7.3 Common diseases,Regular irrigation and protection from grazing wounds provide adequate assistance at this stage,,,
7 Indian Rose Wood (Dalbergia sissoo),It is traditionally used as a molluscicide to inhibit freshwater snail problem,,,
7.2 Distribution,"To the foothills of the Himalayas, ranging from Afghanistan to Bihar",,,
"Phyllosticta sissou; Myrothecium roridum; Alternaria alternata; Black leaf spot (Phyllachlora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians) are commonly observed in the nurseries as well as in the foliage of a few mature plants.",Powdery mildew,,,
"Phyllosticta sissou; Myrothecium roridum; Alternaria alternata; Black leaf spot (Phyllachlora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians) are commonly observed in the nurseries as well as in the foliage of a few mature plants.",Shisham,,,
"Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern. The cause of shisham mortality established with huge research efforts and close observation from many years as the fungi (Fusarium oxysporum and Ganoderma lucidum) being primary damage-causing factor and insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones.",Fusarium oxysporum and Ganoderma lucidum,,,
"Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern. The cause of shisham mortality established with huge research efforts and close observation from many years as the fungi (Fusarium oxysporum and Ganoderma lucidum) being primary damage-causing factor and insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones.","Termite attack, borers, defoliators, and hoppers",,,
"Root rot/trunk rot caused by Ganoderma lucidum, root/butt rot (Phellinus gilvus) causes death of whole plant; the rotted trees are prone to fall during windy rains.",Rotted trees,,,
Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern.,Shisham mortality,,,
Shisham seedlings in the seed bed (Pc: Rajesh Srivastava) Healthy foliage,Rajesh Srivastava,,,
"Phyllosticta sissou; Myrothecium roridum; Alternaria alternata; Black leaf spot (Phyllachlora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians) are commonly observed in the nurseries as well as in the foliage of a few mature plants.",The foliage of a few mature plants,,,
"Root rot/trunk rot caused by Ganoderma lucidum, root/butt rot (Phellinus gilvus) causes death of whole plant; the rotted trees are prone to fall during windy rains.",Death of the whole plant,,,
"Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern. The cause of shisham mortality established with huge research efforts and close observation from many years as the fungi (Fusarium oxysporum and Ganoderma lucidum) being primary damage-causing factor and insect pests (termite attack, borers, defoliators and hoppers) as the secondary ones.","Research efforts focusing on fungi Fusarium oxysporum and Ganoderma lucidum, and secondary factors like termite attack",,,
Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern.,1995 to 2005,,,
"7.4 Major pathological problems in shisham 7.4.1 Shisham mortality (Fusarium oxysporum and Ganoderma lucidum; termite attack, borers, defoliators and hoppers).","Fusarium oxysporum, Ganoderma lucidum; termite attack, borers, defoliators, and hoppers",,,
Shisham mortality is a complex problem since 1995 to 2005; under mono-cultivation plots of Dalbergia spp. it is still a major issue of concern.,Monoculture plots of Dalbergia spp,,,
"Root rot/trunk rot caused by Ganoderma lucidum, root/butt rot (Phellinus gilvus) causes death of whole plant; the rotted trees are prone to fall during windy rains.",Ganoderma lucidum,,,
"Root rot/trunk rot caused by Ganoderma lucidum, root/butt rot (Phellinus gilvus) causes death of whole plant; the rotted trees are prone to fall during windy rains.","s root/butt rot leading to whole plant death, making rotted trees prone to fall.",,,
"Phyllosticta sissou; Myrothecium roridum; Alternaria alternata; Black leaf spot (Phyllachlora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians) are commonly observed in the nurseries as well as in the foliage of a few mature plants.",Phoma nivea or Hypoxylon investians,,,
"7.4 Major pathological problems in shisham 7.4.1 Shisham mortality (Fusarium oxysporum and Ganoderma lucidum; termite attack, borers, defoliators and hoppers).","Fusarium oxysporum, Ganoderma lucidum, termite attack, borers, defoliators, hoppers",,,
"Phyllosticta sissou; Myrothecium roridum; Alternaria alternata; Black leaf spot (Phyllachlora dalbergiae) disease, powdery mildew (Phyllactinia dalbergiae), canker (Phoma nivea; Hypoxylon investians) are commonly observed in the nurseries as well as in the foliage of a few mature plants.",Powdery mildew (Phyllactinia dalbergiae) commonly affects the foliage of shisham plants by causing fungal infections,,,
"Symptoms:
• Defoliation of entire tree and/or the tree is left with leafless branches
• Slow drying of leaves, branches and whole tree with die back symptoms
• Presence of fruiting bodies of mycelium at the tree base
• Stem splitting and bark shredding with gummy black secretion under bark
• Signs of secondary infection such as termite and borer attack
• Die back of standing (normally within 3 to 4 years of infection)","Defoliation, slow drying of leaves and branches, presence of mycelium fruiting bodies, stem splitting, bark shredding, secondary infection signs, die back within 3 to 4 years",,,
"Symptoms:
• Signs of secondary infection such as termite and borer attack",Termite and borer attack,,,
"Management:
• Sandy soils/light textures soils are preferable for planting with good drainage",Sandy soils/light textures soils,,,
"Management:
• Avoid waterlogging near the tree base
• Avoid wounds and cuts to the roots/stem",Waterlogging,,,
"Management:
• Root feed with tridemorph 75% EC 2ml in 100ml water once in a month for 3 months",Once in a month for 3 months,,,
"Management:
• Application of 10% Bordeaux paste to the cut surfaces (1kg lime+1 kg CuSO₄+10 litres of water)",10% Bordeaux paste (1kg lime+1 kg CuSO₄+10 litres of water),,,
7.4.2 Stem canker (Phoma nivea; Hypoxylon investiens),Phoma nivea; Hypoxylon investiens,,,
7.4.2 Stem canker (Phoma nivea; Hypoxylon investiens),,of stem canker.,,
"Management:
• Application of lime paste to the tree base to prevent entry of termites and other secondary insects/pathogens",Applying lime paste to the tree base prevents termite and pathogen entry,,,
"Symptoms:
• Presence of fruiting bodies of mycelium at the tree base",It indicates a potential fungal infection at the tree base,,,
"Symptoms:
• Defoliation of entire tree and/or the tree is left with leafless branches",The tree is left with leafless branches after defoliation,,,
"Management:
• Avoid wounds and cuts to the roots/stem",Wounds and cuts to the roots and stem should be avoided,,,
"Management:
• Use of resistant germplasm for large scale plantations",Resistant germplasm,,,
"Symptoms:
• Slow drying of leaves, branches and whole tree with die back symptoms",,.,,
"Management:
• Root feed with tridemorph 75% EC 2ml in 100ml water once in a month for 3 months",Once a month for 3 months,,,
"Management:
• Application of 10% Bordeaux paste to the cut surfaces (1kg lime+1 kg CuSO₄+10 litres of water)",To seal and protect cut surfaces from infections,,,
"Symptoms:
• Presence of fruiting bodies of mycelium at the tree base",It indicates fungal presence or infection at the tree base,,,
"Management:
• Avoid waterlogging near the tree base",Avoid waterlogging near the tree base to prevent root damage,,,
"Management:
• Use of resistant germplasm for large scale plantations",Using resistant germplasm helps in reducing disease incidence and promotes healthy growth,,,
Symptoms,Branches break off leaving significant mark on main stem,,,
Management,Avoid wounding,,,
Symptoms,Reddish black,,,
Management,Canker-resistant,,,
7.4.3,Root rot,,,
Management,Cankers are removed with a sterile knife and Bordeaux paste (10%) is applied on the cut surface,,,
7.4.3 Root rot (Ganoderma lucidum; Phellinus gilvus),Ganoderma lucidum; Phellinus gilvus,,,
Symptoms,Management,,,
Management,10%,,,
Management,The cut surface,,,
Symptoms,Bark splitting and shredding,,,
Symptoms,Stem pitting is prominent with groove formation,,,
Management,Soil drench with copper oxychloride 50% WP @ 20g in 10 litres water around tree base,,,
Symptoms,,"include bark splitting and shredding, stem pitting with groove formation, branches breaking off with significant mark on main stem, and reddish black gummy exudation at the cankerous growth.",,
Management,To treat the affected soil around the tree base,,,
Images,"The left image shows a healthy tree base, and the right image shows a diseased tree base with fruiting bodies",,,
Management,Canker-resistant planting material,,,
Management,To ensure that the cankers are removed cleanly without causing additional damage or spreading disease,,,
Management,The soil drench with copper oxychloride helps to control root rot by sanitizing the soil and preventing further spread of the disease,,,
Plant Diseases in Agroforestry: A Ready Reckoner,The primary focus is on Plant Diseases in Agroforestry,,,
"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, A Arunachalam","The authors are M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, and A Arunachalam",,,
ICAR-Central Agroforestry Research Institute,ICAR-Central Agroforestry Research Institute published the bulletin,,,
"Near Pahuj Dam, Gwalior Road, Jhansi 284003, Uttar Pradesh, India","It is located near Pahuj Dam, Gwalior Road, Jhansi 284003, Uttar Pradesh, India",,,
A Ready Reckoner,'A Ready Reckoner' is the subtitle,,,
Plant Diseases in Agroforestry,The bulletin addresses plant diseases in agroforestry,,,
A Ready Reckoner,The bulletin offers a ready reckoner on plant diseases,,,
CAFRI/2021/02,The technical bulletin number is CAFRI/2021/02,,,
"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, A Arunachalam","M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, and A Arunachalam",,,
The name of the institute gives a clear indication of their specialty.,The institute specializes in agroforestry research,,,
Plant Diseases in Agroforestry: A Ready Reckoner,The title is 'Plant Diseases in Agroforestry: A Ready Reckoner',,,
A Ready Reckoner,The subtitle suggests that the content is a quick and handy reference,,,
Plant Diseases in Agroforestry: A Ready Reckoner,The primary focus is on plant diseases affecting agroforestry,,,
The technical bulletin named 'Plant Diseases in Agroforestry: A Ready Reckoner'.,'Plant Diseases in Agroforestry: A Ready Reckoner',,,
Paragraph recognized from the cover photo.,An image showing agroforestry plants,,,
The name and work of the organization as recognized from the cover.,The research focuses on improving and understanding agroforestry practices and plant health,,,
Technical Bulletin CAFRI/2021/02,'Technical Bulletin CAFRI/2021/02' refers to a specific publication focusing on agroforestry plant diseases,,,
Research specialization.,Agroforestry,,,
A Ready Reckoner as a quick reference.,The title implies the bulletin may provide comprehensive and quick-reference information on dealing with plant diseases in agroforestry systems,,,
"M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, A Arunachalam","Five authors: M Ashajyothi, YN Venkatesh, K Rajarajan, AK Handa, and A Arunachalam",,,
"Symptoms:
➢ Severe defoliation and lateral root damage ",Severe defoliation,,,
"Management:
➢ Drench the soil with copper oxychloride 50% WP @ 2g/litre",Copper oxychloride,,,
"Management:
➢ Drench the soil with copper oxychloride 50% WP @ 2g/litre",2g/litre,,,
"Symptoms:
➢ Presence of mushroom like fruiting bodies of bracket fungus at the tree base",Mushroom-like fruiting bodies,,,
"Management:
➢ Soil can be replaced with fresh soil collected from healthy plantations",Fresh soil from healthy plantations,,,
"Symptoms:
➢ White rot in the sapwood",White rot,,,
"Management:
➢ Removal of entire old root system before replanting",Remove entire old root system before replanting,,,
"Symptoms:
➢ Drying and death of trees and do not recover even after watering",Drying and death of trees,,,
7.4.4 Leaf spots and blights (Cercospora sissou; Phyllosticta sissou; Myrothecium roridum; Alternaria alternate; Phyllachlora dalbergiae),"Cercospora sissou, Phyllosticta sissou, Myrothecium roridum, Alternaria alternate, Phyllachlora dalbergiae",,,
"Symptoms:
➢ Stag head appearance of the affected trees",Stag head appearance,,,
"Management:
➢ Quick removal and disposal of fallen trees",Quick removal and disposal of fallen trees,,,
"Symptoms:
➢ Leaf spots and blights are most common diseases in shisham nurseries
➢ Necrotic light greyish to dark brown small spots appear on leaves",Necrotic light greyish to dark brown small spots on leaves,,,
"Symptoms:
➢ In severe stages, the entire leaf become blighted and defoliation starts in mature trees",Entire leaf becomes blighted; defoliation starts,,,
"Symptoms:
➢ In many cases, spots start from leaf margins and extend towards petiole with prominent margin",Leaf margins,,,
"Symptoms:
➢ Spots may coalesce to enlarge in size and spread entire leaf lamina",Spots may coalesce and spread over the entire leaf,,,
"Management:
➢ Quick removal and disposal of fallen trees
➢ Drench the soil with copper oxychloride 50% WP @ 2g/litre
➢ Removal of entire old root system before replanting
➢ Soil can be replaced with fresh soil collected from healthy plantations","Quick removal of fallen trees, soil drenching with copper oxychloride, removal of old root system, soil replacement",,,
"Symptoms:
➢ Leaf spots and blights are most common diseases in shisham nurseries
➢ Necrotic light greyish to dark brown small spots appear on leaves
➢ Spots may coalesce to enlarge in size and spread entire leaf lamina
➢ In many cases, spots start from leaf margins and extend towards petiole with prominent margin
➢ In severe stages, the entire leaf become blighted and defoliation starts in mature trees","Common diseases in nurseries; necrotic spots appear, coalesce, spread over the leaf lamina; spot starts from leaf margins extending towards petiole; entire leaf becomes blighted and facilitates defoliation in severe stages",,,
"Symptoms:
Images showing Healthy foliage and Curvularia leaf rot","Healthy foliage appears unaffected, while Curvularia leaf rot shows distinctly patterned discoloration",,,
"Management:
➢ Quick removal and disposal of fallen trees
➢ Drench the soil with copper oxychloride 50% WP @ 2g/litre
➢ Removal of entire old root system before replanting
➢ Soil can be replaced with fresh soil collected from healthy plantations","Management involves removing fallen trees promptly, drenching soil with 50% WP copper oxychloride at 2g/litre, removing the entire old root system before replanting, and replacing soil with soil from healthy plantations",,,
"Management:
➢ Quick removal and disposal of fallen trees
➢ Drench the soil with copper oxychloride 50% WP @ 2g/litre
➢ Removal of entire old root system before replanting
➢ Soil can be replaced with fresh soil collected from healthy plantations","Major steps include quick removal and disposal of fallen trees, drenching soil with copper oxychloride solution, removing entire old root system before replanting, and replacing soil with clean soil from healthy plantations",,,
Isolation of infected seedlings from the healthy ones,Isolating infected seedlings from healthy ones is crucial,,,
Removal and safe disposal of infected leaves,Infected leaves should be removed and safely disposed,,,
Spraying Benomyl 50% WP @ 0.3g per litre in case of severe infection,Benomyl 50% WP at 0,3g per litre is recommended,,
Isolation of infected seedlings from the healthy ones,It prevents the spread of disease to healthy plants,,,
Removal and safe disposal of infected leaves,Safe disposal of infected leaves prevents disease propagation,,,
Avoid sprinkler irrigation,Sprinkler irrigation can promote the spread of disease to other plants,,,
Spraying Benomyl 50% WP @ 0.3g per litre in case of severe infection,Benomyl 50% WP is diluted to 0,3g per litre and sprayed,,
Spraying Benomyl 50% WP @ 0.3g per litre in case of severe infection,Benomyl,,,
Isolation of infected seedlings from the healthy ones,Isolate them,,,
Removal and safe disposal of infected leaves,Remove and discard them safely,,,
Avoid sprinkler irrigation,Avoid using sprinklers,,,
Spraying Benomyl 50% WP @ 0.3g per litre in case of severe infection,Sprayed at 0,3g per litre,,
Isolation of infected seedlings from the healthy ones,Isolation prevents the disease from spreading to healthy plants,,,
Removal and safe disposal of infected leaves,Infected leaves should be removed and disposed of safely to avoid disease spread,,,
Avoid sprinkler irrigation,Avoiding sprinkler irrigation reduces the moisture that can facilitate disease spread,,,
Spraying Benomyl 50% WP @ 0.3g per litre in case of severe infection,It is advised to spray Benomyl 50% WP at a concentration of 0,3g per litre,,
Isolation of infected seedlings from the healthy ones,Isolation,,,
Removal and safe disposal of infected leaves,Safe disposal,,,
Avoid sprinkler irrigation,Sprinkler irrigation,,,
"8.1 Plant systematics
Kingdom : Plantae",Plantae,,,
"8.1 Plant systematics
Class : Liliopsida",Liliopsida,,,
"8.1 Plant systematics
Order : Poales",Poales,,,
"8.1 Plant systematics
Family : Poaceae",Poaceae,,,
"8.1 Plant systematics
Genus : Dendrocalamus",Dendrocalamus,,,
"8.1 Plant systematics
Species : strictus",strictus,,,
Apart from these uses’ bamboo provides ecosystem services and tackle global climate change by releasing 35 percent more oxygen than other plants to the environment,35 percent,,,
"Evidently, plantation of bamboo species in urban and semi-urban could dramatically improve air quality",Urban and semi-urban areas,,,
Bamboo is the king of the grasses family and called as poor man's timber for its unique and special qualities.,Poor man's timber,,,
"Traditionally, it has been used in construction of houses, live fence, food, fuel, and material used for making agricultural implements and other purposes.","Construction of houses, live fence, food, fuel, and agricultural implements",,,
"In the recent years, it has been using for pulp and paper industry, construction and engineering materials, traps, weapons, rafts, towers, cages, etc.","Pulp and paper industry, construction, engineering materials, traps, weapons, rafts, towers, cages",,,
"It is one of the fastest growing plants, also registered as “Green Gold” of the 21st century.",Fastest growing plant,,,
"Today, bamboo is a renewable and versatile resource with high strength and low weight hence bamboo based industrial activities have great and wide scope for income and employment generation in rural and semi urban areas of the country.","Renewable, versatile resource, high strength, low weight, income and employment generation",,,
Apart from these uses’ bamboo provides ecosystem services and tackle global climate change by releasing 35 percent more oxygen than other plants to the environment and sequesters 20 percent carbon dioxide from the environment.,Releases more oxygen and sequesters carbon dioxide,,,
CHAPTER 8 Bamboo (Dendrocalamus strictus),Chapter 8,,,
"he recent years, it has been using for pulp and paper industry, construction and engineering materials, traps, weapons, rafts, towers, cages, etc.","Pulp and paper industry, construction, engineering materials, traps, weapons, rafts, towers, cages",,,
Apart from these uses’ bamboo provides ecosystem services and tackle global climate change by releasing 35 percent more oxygen than other plants to the environment and sequesters 20 percent carbon dioxide from the environment.,Releases oxygen and sequesters carbon dioxide,,,
"Evidently, plantation of bamboo species in urban and semi-urban could dramatically improve air quality with the release of more oxygen and sequestering more carbon dioxide.","Improves air quality, releases more oxygen, sequesters carbon dioxide",,,
"It is one of the fastest growing plants, also registered as “Green Gold” of the 21st century.",Its growth rate and versatility,,,
"Evidently, plantation of bamboo species in urban and semi-urban could dramatically improve air quality with the release of more oxygen and sequestering more carbon dioxide.",Bamboo plantations improve air quality by releasing more oxygen and sequestering carbon dioxide,,,
8.2 Distribution,There are 87 genera of bamboo globally,,,
8.2 Distribution,India,,,
8.3 Common diseases,Phytoplasma,,,
8.4.1 Bamboo thread blight (Botryobasidium salmonicolor),Botryobasidium salmonicolor,,,
8.3 Common diseases,Nearly 440 fungi,,,
8.2 Distribution,Northeast India and Kerala,,,
8.4.1 Bamboo thread blight (Botryobasidium salmonicolor),,"include large water-soaked greyish lesions on mature leaves, fungal mycelial threads on the leaf's lower surface, and lesions spreading from leaf tips to the culms.",,
8.3 Common diseases,Fusarium equiseti,,,
8.3 Common diseases,Complete failure of plantation programs due to disease outbreaks is evidence in nursery stocks affected by infections,,,
8.3 Common diseases,"Fusarium equiseti, Sarocladium oryzae, Coniothyrium fuckelii Sacc",", Fusarium spp",", Acremonium strictum W"," Gams, Pteroconium sp"
8.3 Common diseases,There are two bacteria,,,
8.4 Major pathological problems in bamboo,Bamboo thread blight (Botryobasidium salmonicolor) is a major pathological problem,,,
8.2 Distribution,Approximately 1500 species,,,
8.4.1 Bamboo thread blight (Botryobasidium salmonicolor),Bamboo thread blight,,,
8.3 Common diseases,Alternaria,,,
8.4.1 Bamboo thread blight (Botryobasidium salmonicolor),"Lesions appear large, water-soaked, and greyish on mature leaves",,,
8.2 Distribution,"India grows bamboo well in all states, with abundance in northeast India and Kerala's humid tropics",,,
8.4.1 Bamboo thread blight (Botryobasidium salmonicolor),"Large water-soaked greyish lesions on leaves, fungal mycelial threads on the lower leaf surface, and lesions spreading to the culms",,,
8.3 Common diseases,Balansia liniaris,,,
8.3 Common diseases,"440 fungi, three bacteria, two viruses, one phytoplasma, and one bacteria-like organism",,,
8.4.2 Bamboo culm rot (Fusarium moniliforme),Bamboo culm rot,,,
8.4.2 Bamboo culm rot (Fusarium moniliforme) Symptoms: Dark brown water-soaked lesions on culms and culm sheath,Bamboo culm rot,,,
Management: Pruning of the diseased branches,Pruning,,,
Rotting of emerging tender shoot along with strong sour smell,Rotting of emerging tender shoot along with strong sour smell,,,
"Management: In severe cases, spray carbendazim @ 2 g/litre",Spray carbendazim @ 2 g/litre,,,
Dark brown water-soaked lesions on culms and culm sheath,Dark brown water-soaked lesions,,,
Rotting of emerging tender shoot along with strong sour smell,Rotting of emerging tender shoot,,,
Little leaf (Phytoplasma) Symptoms: Bushy appearance of the whole branch around nodes,Little leaf,,,
Management: Avoid insect damage and water logging,Avoid insect damage and waterlogging,,,
"Symptoms: Numerous, small and dense needle like leaves and abnormal shoots emerge from nodes",Small and dense needle-like leaves and abnormal shoots emerging from nodes,,,
Management: Cutting and burning of the severely infected culms and nodes,Cutting and burning of the severely infected culms and nodes,,,
"Symptoms: Numerous, small and dense needle like leaves and abnormal shoots emerge from nodes Bushy appearance of the whole branch around nodes Stunted growth of the culms, internodes and whole plant","Numerous small and dense needle-like leaves, abnormal shoots, bushy branch appearance, stunted growth",,,
Symptoms: Dark brown water-soaked lesions on culms and culm sheath Rotting of emerging tender shoot along with strong sour smell,"Dark brown water-soaked lesions on culms and sheath, rotting of shoots with a strong sour smell",,,
Management: Remove the debris surrounding shoots before monsoon. Avoid insect damage and water logging.,Remove debris surrounding shoots before monsoon and avoid insect damage and waterlogging,,,
"Symptoms: Bushy appearance of the whole branch around nodes. Stunted growth of the culms, internodes and whole plant.","Bushy appearance of branches, stunted growth of culms, internodes, and whole plant",,,
Management: Cleaning and burning of the infected foliage,Cleaning and burning,,,
8.4.2 Bamboo culm rot (Fusarium moniliforme),Culms,,,
Management: Cutting and burning of the severely infected culms and nodes,Severely infected culms and nodes,,,
Management: Remove the debris surrounding shoots before monsoon.,Debris surrounding shoots,,,
"Symptoms: Numerous, small and dense needle-like leaves and abnormal shoots emerge from nodes","Numerous, small and dense needle-like leaves",,,
8.4.4 Fire damage (non-pathological),Fire damage,,,
"Symptoms:
➢ Burning and drying of leaves, stem and branches","Burning and drying of leaves, stem, and branches",,,
"Management:
➢ Avoid fire during winters and summers near to the trees",Fire,,,
➢ Dried plants quickly catch fire and may provoke forest fires under natural conditions,Dried plants quickly catching fire,,,
Images show: Healthy bamboo vs. Fire damage on young bamboo plant,Healthy bamboo and fire damage on young bamboo plant,,,
"Management:
➢ Avoid fire during winters and summers near to the trees",Avoid fire during winters and summers near to the trees,,,
Images show: Healthy bamboo vs. Fire damage on young bamboo plant,One shows healthy bamboo and the other shows fire-damaged bamboo,,,
➢ Dried plants quickly catch fire and may provoke forest fires under natural conditions,Dried plants,,,
"Symptoms:
➢ Burning and drying of leaves, stem and branches","burning and drying of leaves, stem, and branches of bamboo plants.",,,
"Management:
➢ Avoid fire during winters and summers near to the trees",It is recommended to avoid fire during winters and summers near to the trees,,,
Images show: Healthy bamboo vs. Fire damage on young bamboo plant,The image on the right shows fire damage on a young bamboo plant,,,
"Symptoms:
➢ Burning and drying of leaves, stem and branches",,"of fire damage in bamboo plants include burning and drying of leaves, stems, and branches.",,
➢ Dried plants quickly catch fire and may provoke forest fires under natural conditions,Dried bamboo plants can provoke forest fires under natural conditions by quickly catching fire,,,
"Management:
➢ Avoid fire during winters and summers near to the trees",The advice is to avoid fire during the winters and summers near to the trees to reduce fire risks,,,
➢ Dried plants quickly catch fire and may provoke forest fires under natural conditions,"The factor is that dried plants quickly catch fire, thus increasing the risk of fires in natural habitats",,,
➢ Dried plants quickly catch fire and may provoke forest fires under natural conditions,"In a forest environment, dried bamboo plants can quickly catch fire and provoke forest fires under natural conditions",,,
"Management:
➢ Avoid fire during winters and summers near to the trees","To protect trees, fire should be avoided during winters and summers near to the trees",,,
➢ Dried plants quickly catch fire and may provoke forest fires under natural conditions,"Fire damage in bamboo plants could lead to quick ignition of dried plants, potentially provoking forest fires and impacting forest ecosystems",,,
"Management:
➢ Avoid fire during winters and summers near to the trees",A preventive measure is to avoid fire during winters and summers near to the trees,,,
"Symptoms:
➢ Burning and drying of leaves, stem and branches",,of fire damage.,,
"Anuagasi CL, Onuorah JA, Okigbo RN (2017) Fungal pathogens affecting seedlings of Gmelina arborea Roxb and Tectona grandis Lf effect of three plant extracts. IJAT 13: 307-330",Fungal pathogens affecting seedlings show different responses to the extracts,,,
"Arun Kumar AK, Geeta J (2012). Incidence of sandal spike symptoms in a one-year-old plantation in Karnataka. Current Science, 103(6), p.613.",,in a one-year-old Karnataka plantation.,,
